Name_Station,Venue_Name,Venue_Address,Venue_Distance,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Pod Hotel 51,230 E 51st St,278,Hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",NYC Private Shopping Tour,860 United Nations Plz,303,Tour Provider
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Remi Flower & Coffee,906 2nd Ave,318,Café
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Birch Coffee,240 E 54th St,320,Coffee Shop
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Gregorys Coffee,880 3rd Ave,442,Café
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Weber Shandwick Coffee Bar,909 3rd Ave,452,Coffee Shop
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Ground Central Coffee Company,155 E 52nd St,456,Wine Bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",San Carlos Hotel,150 E 50th St,477,Hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Kimberly Hotel,145 E 50th St,488,Hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Carvi Hotel,152 E 55th St,524,Hotel
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",La Colombe Coffee Roasters,601 W 27th St,135,Coffee Shop
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",The McKittrick Hotel,530 W 27th St,159,Hotel
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",Skylight at McKittrick Hotel,542 W 27th St,184,Bar
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",Think Coffee,500 W 30th St,190,Bakery
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",Blue Bottle Coffee,20 Hudson St,217,"Cafe, Coffee, and Tea House"
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",La Piscine at Hôtel Americano,518 W 27th St,222,Hotel Bar
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",Equinox Hotel - Hudson Yards,32 Hudson,224,Gym and Studio
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",Hotel Americano,518 W 27th St,225,Hotel
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",Jack's Stir Brew Coffee,20 Hudson St,236,Bakery
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",Whitey Museum of American Art,239 11th Ave,263,Museum
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",PROOF Coffee Roasters,335 E 27th St,206,Café
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",Carlton Arms Hotel,160 E 25th St,246,Hotel
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",Birch Coffee,432 3rd Ave,316,Coffee Shop
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",Lex Hotel NYC,67 Lexington Ave,345,Hotel
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",787 Coffee,100 Lexington Ave,352,Coffee Shop
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave","Park South, A Joie De Vivre Hotel",122 E 28th St,373,Restaurant
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",Restaurant At South Park Hotel,126 E 28th St,382,Restaurant
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",Park South Hotel,124 E 28th St,386,Hotel
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",Think Coffee,280 3rd Ave,438,Coffee Shop
