Name_Station,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Village Crown Kosher Catering,216 E 49th St,401.3791707065456,(212) 207-3888,4.9,$$,9,http://www.villagecrown.com,Caterers,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Charoen Krung,955 2nd Ave,227.25238688478822,(929) 789-9456,4.8,$$,121,http://www.charoenkrungnyc.com,Thai,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Quick Stop,47th Street & Lexington Ave,672.8227154763755,(917) 577-7057,4.8,$,9,http://georzes.wix.com/quickshop1,Coffee & Tea,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Kati Shop,162 E 55th St,495.560320113011,(646) 869-1362,4.7,$$,212,http://www.katishopnyc.com,Thai,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Tony's Coffee Cart,"Sw Corner, 49th St & Park Ave",732.2069668384418,,4.7,$,7,,Coffee & Tea,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Halal Cart,41ST And 3rd Ave,954.426423256739,,4.7,$,7,,Halal,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Esprit Events,216 E 49th St,401.3791707065456,(212) 207-3888,4.7,$$$$,10,http://www.espritevents.com/,Caterers,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Bonsaii Tapas & Wine Bar,127 E 55th St,656.9555825485658,(646) 484-2135,4.7,$$,16,http://www.bonsaiirestaurant.com,Tapas Bars,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Quantum Leap,1103 1st Ave,695.8114711206374,(212) 371-3888,4.7,$$,119,http://quantumleap1stave.com,Vegetarian,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",KOBA Korean BBQ,918 3rd Ave,508.4971551409552,(917) 409-1410,4.7,$$,123,http://kobakoreanbbq.com,Korean,restaurant
