Name_Station,Latitude_Station,Longitude_Station,Number_Of_Bikes
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13
"Icon Pkg: E 27 St, 2nd Ave & 3rd Ave",40.740531,-73.979577,20
Icon Pkg: King Street & Greenwich St,40.728319,-74.008412,8
"Icon Pkg: W 97 St, Cntrl Park W & Col.",40.792596,-73.965278,14
"Quik Park: 81 St, 1st & York",40.773513,-73.951505,10
"Icon Pkg: W 64 St, Ams. & West E.",40.774623,-73.987749,21
"Icon Pkg: E 102 St, 1st Ave & 2nd Ave",40.787629,-73.943185,10
"Icon Pkg: W 37 St, 9th & 10th Ave",40.755487,-73.995436,14
"Centerpark: E 58th St, 3rd ave & 2nd Ave",40.7604,-73.965873,12
"Icon Pkg: W 53 St, 6th Ave & 5th Ave",40.761701,-73.978517,16
"Centerpark: W 58 St, 6th Ave & 5th Ave",40.764649,-73.975994,15
"Icon Pkg: E 32 St, Lexington & 3rd Ave",40.744356,-73.979517,10
"Icon Pkg: E. 107 St, Madison & 5th",40.794416,-73.949501,14
"Icon Pkg: E 53 St, 3rd Ave & 2nd Ave",40.757385,-73.968405,10
"Icon Pkg: E 19 St, 3rd Ave & 2nd Ave",40.73603,-73.98444,32
"Laz Pkg: W 23 St, 6th & 7th Ave",40.74316,-73.99321,11
"Icon Pkg: E 95 St, 2nd Ave & 3rd Ave",40.783987,-73.948337,20
"Icon Pkg: E 22 St, Broadway & Pk Ave S",40.740575,-73.989059,9
"Icon Pkg: W 43 St, 8th Ave & 7th Ave",40.757649,-73.988307,14
"Icon Pkg: W 83 St, Broadway & Ams.",40.78615,-73.9772,14
"Icon Pkg: E 88 St, York & East End",40.776415,-73.944402,8
"Icon Pkg: E 65 st, 2nd Ave & 3rd Ave",40.764579,-73.962026,9
West-Side JOCO Concierge,40.766666,-73.994336,2
"Icon Pkg: Greenwich St, Jay Street & Duane",40.717883,-74.010589,20
"Icon Pkg: E 51 St, 3rd Ave & Lexington",40.756566,-73.971063,8
"Icon Pkg: W 71 St, Broadway & West E.",40.77808,-73.9826,10
"Icon pkg: exchange pl, William & broad",40.705924,-74.010036,8
"Icon Pkg: W 14 St, 8th Ave & 9th Ave",40.740122,-74.003068,8
"Icon Pkg: W 36 St, 7th Ave & Broadway",40.7521,-73.989015,12
"Icon Pkg: Albany St, west & Washington",40.709729,-74.014294,12
"Icon Pkg:W 50 St, 8th Ave & 9th Ave",40.762608,-73.986576,12
"Icon Pkg: E 41 St, 2nd Ave & 3rd Ave",40.74927,-73.973194,8
"Icon Pkg: W 40 St, Broadway & 7th Ave",40.754682,-73.987303,8
"Icon Pkg: E 63rd st, 3rd Ave & 2nd Ave",40.764204,-73.964273,16
JOCO X Grubhub Concierge,40.729135,-73.981695,2
"Icon Pkg: E 13 St, 4th Ave & 3rd Ave",40.733486,-73.989565,14
