Name_Station,Latitude_Station,Longitude_Station,Number_Of_Bikes,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Village Crown Kosher Catering,1,401.3791707065456,1,4.9,2,9,1.0,Caterers,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Charoen Krung,1,227.25238688478825,1,4.8,2,121,1.0,Thai,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Quick Stop,1,672.8227154763755,1,4.8,1,9,1.0,Coffee & Tea,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Kati Shop,1,495.560320113011,1,4.7,2,212,1.0,Thai,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Tony's Coffee Cart,1,732.2069668384418,0,4.7,1,7,0.0,Coffee & Tea,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Halal Cart,1,954.426423256739,0,4.7,1,7,0.0,Halal,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Esprit Events,1,401.3791707065456,1,4.7,4,10,1.0,Caterers,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Bonsaii Tapas & Wine Bar,1,656.9555825485658,1,4.7,2,16,1.0,Tapas Bars,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Quantum Leap,1,695.8114711206374,1,4.7,2,119,1.0,Vegetarian,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,KOBA Korean BBQ,1,508.4971551409552,1,4.7,2,123,1.0,Korean,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Sophra Grill,1,1351.4593407917678,1,4.6,2,142,1.0,Mediterranean,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Sushi Zo Hanare,1,1165.2760776716625,1,4.6,4,37,1.0,Sushi Bars,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Greats Of Craft,1,160.30778069153084,1,4.6,2,111,1.0,Bars,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Halal Cart,1,901.1956349777528,0,4.6,1,5,0.0,Halal,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Kjun,1,1124.7126635861473,1,4.6,3,160,1.0,Korean,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Osteria Delbianco,1,925.7258228379754,1,4.6,3,222,1.0,Italian,restaurant
